Title,Price,Free Shipping,Rating,Condition
Portátil Computador Hp Intel Dual Core Ram 8gb 256gb Ssd 14,1285700,True,4.7,N/A
Computador Portatil Hp Ryzen 5 16gb Ram 1tera Ssd Disco Win,2480400,True,4.9,N/A
Portatil Lenovo Intel I5 1235u Solidos 512gb+ 240gb Ram 16gb Color Gris,3428429,True,4.8,N/A
"Potátil 15-EF2517LA 15.6"" color azul 12GB de Ram - 512GB SSD - AMD Ryzen 5",1962000,True,4.5,N/A
"Computador Portatil Gamer Lenovo Loq 15arp9 Grey, Amd Ryzen 7 7435hs, 16gb De Ram, 512gb Ssd, Nvidia Geforce Rtx 4060 8gb, 144 Hz 1920x1080px Windows 11 Home",5276999,True,5.0,N/A
Portátil Computador Dell Intel Core I3 Ssd 512gb Ram 16gb Color Plateado,1643334,True,N/A,N/A
"Portatil Acer A315-59-50kp Ci5 1235u 15,6 8gb 512gb Ssd Win Color Gris",2163529,True,N/A,N/A
Computador Portátil 14 Asus P1412cea Ci5 Gris 256gb Ssd,1899900,True,N/A,N/A
Computador Portatil Dell Core I5 11gen 16gb 1tb+ 250gb Ssd Color Gris,1869900,True,4.7,N/A
"Potátil 255 G7 15.6"" color gris 8GB de Ram - 1TB HDD - AMD Athlon",1550000,True,4.6,N/A
Computador Portatil Asus X1504za Core I5 1235u 8gb 512gb Color Azul Tranquilo,2199000,True,5.0,N/A
Potátil X515EA X515EA-BQ1398W color slate gray 12GB de Ram - 256GB SSD - Intel Core i3,1399000,True,N/A,N/A
Computador Portatil Gamer Msi Cyborg Negra 15.6 Intel Core I7 12650h 32gb Ram 1 Tb Ssd Nvidia Geforce Rtx 4060 8gb 144hz 1920x1080px Windows 11 Home,6763999,True,4.6,N/A
"Computador Gamer Lenovo Legion 5 15ARP8 Storm Grey 15.6"", AMD Ryzen 7 7735HS, 16gb de RAM DDR5, 512GB de SSD, Nvidia Geforce Rtx 4060 8gb, 165Hz WQHD 2560 x 1440px, Windows 11 Home",5699999,True,4.9,N/A
Computador Portatil Hp 14 Celeron Ssd 256gb Ram 4gb,943500,True,4.7,N/A
"Computador Portatil Gamer Lenovo Loq 15arp9 Grey, Amd Ryzen 7 7435hs, 32gb De Ram, 1 Tb Ssd, Nvidia Geforce Rtx 4060 8gb, 144 Hz 1920x1080px Windows 11 Home",5776999,True,N/A,N/A
"Ultrabook 240 G7 14"" color plateado ceniza oscuro 4GB de Ram - 500GB HDD - Intel Celeron",1519440,True,4.6,N/A
Computador Portatil Asus I7 12700h Ram 24gb Ssd 1 Tera Fhd,4428429,True,N/A,N/A
Portatil Hp 14 Procesador Celeron Ram 8gb Disco Duro 1 Tera,1199900,True,N/A,N/A
"Computador Portatil Gamer Lenovo Loq 15arp9 Grey, Amd Ryzen 7 7435hs, 64gb De Ram, 1 Tb Ssd, Nvidia Geforce Rtx 4060 8gb, 144 Hz 1920x1080px Windows 11 Home",6646999,True,N/A,N/A
Portátil Computador Hp Intel Dual Core Ram 8gb 256gb Ssd 14,1285700,True,4.7,N/A
"Hp 15-ef2523la Ryzen 5 5500u Ram 12gb Ssd 256gb 15,6 Hd",1764700,True,N/A,N/A
"Potátil 240 G8 14"" color negro 8GB de Ram - 1TB HDD - Intel Celeron",1557140,True,4.8,N/A
Ordenador portátil Asus Tuf Gaming Rtx3050 Core I5 16 GB 512 SSD W11,4457647,True,4.7,N/A
Computador Portatil Asus X1504za Core I5 1235u 16gb 512gb Color Azul,1823000,True,4.8,N/A
"Computador Portatil Asus X1504za-nj227 Core I5 1235u 24gb 512gb 15,6 Fhd Azul",1926900,True,4.6,N/A
Portatil Computador Lenovo Intel Dual Core Ssd 256gb Ram8gb,1129900,True,4.8,N/A
Computador Portatil Hp Ryzen 5 16gb Ram 1tera Ssd Disco Win,2480400,True,4.9,N/A
Computador Portatil Dell 3520 Core I3 1215u 8gb 512gb - 15.6,1285900,True,5.0,N/A
Computador Portátil Hp 14-cf2522la - Ci5 - 8gb - 256gb - 14,1649900,True,4.8,N/A
Computador Portatil Dell 3520 Core I3 1215u 24gb 512gb 15.6,2142714,True,N/A,N/A
"Computador Portatil Gamer Msi Cyborg Negra 15.6, Intel Core I7 12650h, 64gb Ram, 512gb Ssd, Nvidia Geforce Rtx 4060 8gb, 144hz 1920x1080px Windows 11 Home",6822999,True,N/A,N/A
Computador Portátil Acer Core I5 Ram 8gb 256gb Ssd 15.6,2100000,True,N/A,N/A
Computador Portatil Hp Ryzen 5 20gb Ram 1tera Ssd Disco Win,2532270,True,4.3,N/A
"Potátil IdeaPad Slim 1 14"" color platinum gray 4GB de Ram - 64GB SSD - AMD A6-Series",1277770,True,5.0,N/A
Computador Portatil Dell 3520 Core I3 1215u 16gb 512gb 15.6,2037000,True,N/A,N/A
Computador Portátil Compumax Intel Celeron Disco 512m.2 Ram8,798900,True,N/A,N/A
Portátil Computador Dell Intel Core I3 Ssd 512gb Ram 16gb,1609900,True,5.0,N/A
Computador Portatil Asus I7 12700h Ram 16gb Ssd 1 Tera Fhd,4214143,True,N/A,N/A
Computador Portatil Asus Amd Ryzen 7 7730u Ssd 1tb Ram 40gb,3159900,True,5.0,N/A
Computador Portatil Asus Amd Ryzen 7 7730u Ssd 1tb Ram 24gb,3019900,True,5.0,N/A
Computador Portátil Core I5 8va Gen 12ram 500hd Wifi Tipo B,1279899,True,N/A,Reacondicionado
Portatil Computador Lenovo Intel Dual Core Ssd 512gb Ram8gb,1329900,True,4.7,N/A
Computador Portatil Hp 240 G8 1tb - 8gb - 14 Windows 10,1450000,True,N/A,N/A
Computador Portatil Acer Amd Ryzen 5 Ram 8gb Ssd 1000gb Gráf,2441530,True,5.0,N/A
Computador Portatil Asus Amd Ryzen 9 6900h 24gb 1tb Rx 6700s,8961030,True,N/A,N/A
Portátil Computador Dell Intel Core I3 Ssd 512 Ram 12gb,1552000,True,N/A,N/A
"Computador Hp 255 15.6 Amd3020e 8gb , 1tb Hdd, Ssd 480 W",1650000,True,N/A,N/A
"Portatil Acer A315-59-50 Ci5 1235u 15,6 8gb 512gb Ssd",1799900,True,N/A,N/A
Portatil Hp Amd Ryzen 5 5500u Ram 20gb Ssd 256gb 14-fq1052la,2293460,True,4.7,N/A
Computador Portátil Asus Vivobook Go 15.6 E1504ga Ci3 Win11,2054900,True,N/A,N/A
Asus Vivobook Intel Core I7 12700h Ssd 512gb Ram 40gb,3069900,True,N/A,N/A
